%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1473672900582614289,0.0,0.0,0.0,0.0,0.0,0.0
1473672900599296251,0.0,0.0,0.0,0.0,0.0,0.0
1473672900615967828,0.0,0.0,0.0,0.0,0.0,0.0
1473672900632622001,0.0,0.0,0.0,0.0,0.0,0.0
1473672900649265223,0.0,0.0,0.0,0.0,0.0,0.0
1473672900665971101,0.0,0.0,0.0,0.0,0.0,0.0
1473672900682616282,0.0,0.0,0.0,0.0,0.0,0.0
1473672900699252945,0.0,0.0,0.0,0.0,0.0,0.0
1473672900715937185,0.0,0.0,0.0,0.0,0.0,0.0
1473672900732608688,0.0,0.0,0.0,0.0,0.0,0.0
1473672900749219462,0.0,0.0,0.0,0.0,0.0,0.0
1473672900765927042,0.0,0.0,0.0,0.0,0.0,0.0
1473672900782583584,0.0,0.0,0.0,0.0,0.0,0.0
1473672900799282524,0.0,0.0,0.0,0.0,0.0,0.0
1473672900815905491,0.0,0.0,0.0,0.0,0.0,0.0
1473672900832628085,0.0,0.0,0.0,0.0,0.0,0.0
1473672900849249496,0.0,0.0,0.0,0.0,0.0,0.0
1473672900865945413,0.0,0.0,0.0,0.0,0.0,0.0
1473672900882634465,0.0,0.0,0.0,0.0,0.0,0.0
1473672900899276932,0.0,0.0,0.0,0.0,0.0,0.0
1473672900915914712,0.0,0.0,0.0,0.0,0.0,0.0
1473672900932541109,0.0,0.0,0.0,0.0,0.0,0.0
1473672900949244020,0.0,0.0,0.0,0.0,0.0,0.0
1473672900965919248,0.0,0.0,0.0,0.0,0.0,0.0
1473672900982583307,0.0,0.0,0.0,0.0,0.0,0.0
1473672900999231632,0.0,0.0,0.0,0.0,0.0,0.0
1473672901015878106,0.0,0.0,0.0,0.0,0.0,0.0
1473672901032585832,0.0,0.0,0.0,0.0,0.0,0.0
1473672901049243748,0.0,0.0,0.0,0.0,0.0,0.0
1473672901065932519,0.0,0.0,0.0,0.0,0.0,0.0
1473672901082537565,0.0,0.0,0.0,0.0,0.0,0.0
1473672901099267777,0.0,0.0,0.0,0.0,0.0,0.0
1473672901115883802,0.0,0.0,0.0,0.0,0.0,0.0
1473672901132607418,0.0,0.0,0.0,0.0,0.0,0.0
1473672901149313382,0.0,0.0,0.0,0.0,0.0,0.0
1473672901165934218,0.0,0.0,0.0,0.0,0.0,0.0
1473672901182617508,0.0,0.0,0.0,0.0,0.0,0.0
1473672901199243416,0.0,0.0,0.0,0.0,0.0,0.0
1473672901215933058,0.0,0.0,0.0,0.0,0.0,0.0
1473672901232524102,0.0,0.0,0.0,0.0,0.0,0.0
1473672901249280334,0.0,0.0,0.0,0.0,0.0,0.0
1473672901265949270,0.0,0.0,0.0,0.0,0.0,0.0
1473672901282556028,0.0,0.0,0.0,0.0,0.0,0.0
1473672901299274257,0.0,0.0,0.0,0.0,0.0,0.0
1473672901315914708,0.0,0.0,0.0,0.0,0.0,0.0
1473672901332656047,0.0,0.0,0.0,0.0,0.0,0.0
1473672901349241931,0.0,0.0,0.0,0.0,0.0,0.0
1473672901365956244,0.0,0.0,0.0,0.0,0.0,0.0
1473672901382604285,0.0,0.0,0.0,0.0,0.0,0.0
1473672901399260259,0.0,0.0,0.0,0.0,0.0,0.0
1473672901416017896,0.0,0.0,0.0,0.0,0.0,0.0
1473672901432647799,0.0,0.0,0.0,0.0,0.0,0.0
1473672901449286293,0.0,0.0,0.0,0.0,0.0,0.0
1473672901465938994,0.0,0.0,0.0,0.0,0.0,0.0
1473672901482588919,0.0,0.0,0.0,0.0,0.0,0.0
1473672901499236529,0.0,0.0,0.0,0.0,0.0,0.0
1473672901515925882,0.0,0.0,0.0,0.0,0.0,0.0
1473672901532598244,0.0,0.0,0.0,0.0,0.0,0.0
1473672901549272779,0.0,0.0,0.0,0.0,0.0,0.0
1473672901565980180,0.0,0.0,0.0,0.0,0.0,0.0
1473672901582604169,0.0,0.0,0.0,0.0,0.0,0.0
1473672901599273643,0.0,0.0,0.0,0.0,0.0,0.0
